SA2_CODE_2021,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
212021299,17,23,37,0,0,0,0,0,0,17,23,37,3938,3957,7894,155,148,310,4107,4135,8241
212021453,30,46,71,3,6,3,0,0,0,30,45,79,5762,5746,11505,259,249,504,6050,6036,12086
212021454,17,19,34,0,0,0,0,0,0,17,21,37,6439,6349,12792,292,240,532,6748,6610,13360
212021455,43,46,84,0,0,0,3,3,5,41,51,93,6450,6443,12886,265,258,527,6759,6750,13504
212021456,41,72,115,3,0,5,0,0,0,48,80,124,6918,6960,13876,366,394,757,7332,7431,14758
212021553,28,47,75,4,5,10,3,0,5,36,49,82,8540,8627,17165,260,257,513,8831,8927,17760
212021554,30,31,57,0,0,0,0,0,0,30,31,57,5422,5419,10845,174,173,350,5627,5624,11254
212031300,110,108,218,4,4,7,3,0,3,117,115,233,9895,9712,19612,720,723,1447,10735,10544,21281
212031303,99,69,168,4,5,10,4,0,4,110,76,179,8126,8481,16606,312,303,616,8549,8860,17400
212031304,83,82,169,0,3,3,0,0,0,83,82,171,10185,10445,20628,376,359,737,10646,10890,21535
212031306,17,18,36,0,0,0,0,0,0,22,17,39,8697,8736,17432,292,263,555,9014,9018,18027
212031308,50,52,103,3,6,9,0,3,4,54,54,110,3858,3653,7508,225,186,408,4137,3893,8024
212031457,21,29,50,0,0,0,0,0,0,21,31,49,6437,6385,12824,142,131,274,6600,6550,13152
212031458,55,59,110,0,0,3,0,5,7,55,60,121,7980,8096,16074,261,260,521,8298,8419,16713
212031555,22,19,43,0,0,0,0,0,3,25,26,45,4969,5240,10209,127,150,282,5121,5416,10535
212031556,24,23,48,0,0,0,0,0,0,25,23,49,7141,7167,14304,231,216,447,7394,7408,14802
212031557,86,89,172,0,0,0,7,0,4,93,90,186,11089,11303,22387,427,420,841,11605,11806,23415
212031558,39,42,84,5,5,5,0,0,0,47,47,96,5744,5967,11713,245,236,484,6039,6254,12289
212031559,34,14,51,0,0,0,0,4,6,39,17,58,6135,6228,12366,178,175,350,6354,6415,12772
212031560,56,57,109,0,0,3,0,0,0,60,60,114,5608,5628,11240,281,270,550,5952,5954,11910
212031561,31,37,71,0,0,4,0,0,4,39,35,76,6070,5872,11933,367,338,706,6477,6243,12715
212031562,49,60,110,0,4,6,0,0,3,53,61,114,6400,6097,12506,390,363,750,6842,6528,13368
212041309,12,7,15,0,0,0,0,0,0,10,9,22,5520,5682,11201,166,171,335,5696,5860,11554
212041310,18,16,34,0,0,0,0,0,0,18,16,34,6626,6216,12843,266,232,506,6911,6476,13381
212041312,67,76,138,4,3,8,0,0,4,68,79,153,10731,10502,21239,599,546,1143,11400,11128,22526
212041313,22,10,33,0,0,0,0,0,0,20,10,31,5015,5192,10205,139,125,260,5169,5322,10499
212041316,17,17,37,0,4,5,0,0,0,18,20,35,3591,3530,7124,150,145,295,3759,3699,7456
212041317,21,15,40,0,0,0,0,0,0,24,20,45,10923,10341,21266,490,443,937,11440,10800,22248
212041318,13,16,29,0,0,0,0,0,0,13,16,29,6090,6140,12226,196,172,372,6299,6325,12621
212041459,39,30,74,3,4,9,0,0,0,39,42,81,6099,5871,11971,363,325,689,6500,6236,12739
212041460,17,23,39,0,3,4,0,0,3,15,32,48,9316,9440,18754,412,371,780,9745,9842,19591
212041563,56,60,119,3,5,11,3,3,4,65,65,131,10134,9386,19519,1059,777,1838,11256,10228,21487
212041564,10,16,29,0,0,0,0,0,0,10,16,29,4558,4222,8783,300,242,541,4874,4478,9350
212041565,19,15,35,0,0,0,0,0,0,20,15,38,7274,7309,14588,224,247,468,7524,7573,15096
212041566,13,12,23,0,4,4,0,0,0,13,15,30,7342,7453,14799,142,127,269,7500,7603,15093
212051319,38,38,72,0,0,3,0,5,3,39,39,81,9261,9474,18745,374,315,686,9678,9829,19507
212051321,17,4,23,0,0,0,0,0,0,17,6,25,10378,10678,21059,252,273,523,10648,10955,21603
212051322,20,21,43,0,0,0,0,0,4,22,28,46,10045,10200,20240,364,386,751,10429,10611,21036
212051323,13,14,26,0,0,0,0,0,0,13,16,27,7648,7964,15615,215,219,432,7875,8198,16073
212051324,14,30,45,0,0,0,0,0,0,14,29,44,9207,9501,18711,268,235,509,9496,9769,19265
212051325,25,24,49,0,0,4,0,0,0,29,27,55,9630,9647,19277,322,231,549,9982,9903,19889
212051326,43,39,79,3,0,3,0,0,3,48,36,86,10945,11128,22075,390,375,765,11380,11547,22928
212051327,11,17,28,3,0,3,0,5,4,14,24,35,9681,10236,19912,322,380,705,10022,10635,20652
212051567,34,26,57,0,0,0,0,3,4,33,28,61,4667,4274,8942,510,317,825,5212,4615,9829
212051568,14,11,32,0,0,0,0,0,0,14,18,34,6112,5289,11398,343,277,622,6466,5581,12052
213011328,32,20,52,0,0,0,0,0,0,29,18,48,3590,3312,6902,310,237,548,3933,3569,7502
213011329,4,8,16,0,0,0,0,0,0,4,8,16,4777,4950,9731,154,145,296,4940,5103,10038
213011331,9,19,34,0,0,0,0,0,0,17,19,30,3781,3926,7710,175,162,334,3975,4110,8077
213011332,29,32,65,0,0,0,0,0,5,32,35,70,6107,6339,12447,312,253,568,6455,6628,13082
213011333,37,23,62,0,0,0,0,0,3,39,32,72,6548,6600,13147,390,376,765,6983,6997,13983
213011334,29,31,62,4,0,4,0,3,3,33,36,68,9482,9405,18882,871,755,1625,10378,10201,20581
213011335,33,44,77,0,0,0,0,0,0,33,44,77,7940,7907,15848,783,746,1532,8759,8701,17454
213011336,28,21,50,0,0,3,0,3,3,33,29,57,4556,4316,8869,286,223,514,4871,4567,9445
213011337,21,23,45,0,0,0,0,0,0,25,23,47,5629,5682,11310,348,347,690,5990,6051,12047
213011338,45,55,97,0,0,0,0,0,0,45,55,97,8828,8649,17478,514,472,983,9385,9173,18558
213011339,35,30,67,0,0,3,0,0,0,36,35,73,5523,5661,11181,236,238,474,5797,5934,11726
213011340,25,38,59,0,0,3,0,0,0,28,37,63,8142,8278,16414,224,212,436,8384,8524,16910
213011569,41,33,77,0,0,0,0,0,0,41,35,72,8455,8364,16824,584,527,1107,9081,8930,18004
213011570,11,10,28,0,0,0,0,0,0,15,10,28,4161,4138,8300,171,149,320,4347,4306,8653
213021341,35,43,79,0,0,0,0,0,0,35,43,79,6156,6757,12913,281,285,568,6470,7084,13556
213021342,68,57,124,5,0,3,4,0,4,72,57,130,8474,9117,17587,395,364,763,8939,9535,18479
213021343,47,42,87,4,8,9,0,3,3,56,51,103,6830,7206,14032,411,391,799,7293,7638,14931
213021344,63,41,108,0,4,6,5,0,4,75,50,120,8832,9236,18068,301,266,569,9206,9550,18753
213021345,18,20,38,0,0,0,0,0,0,18,17,36,2328,2400,4732,95,98,188,2440,2514,4952
213021346,53,46,95,3,5,9,0,0,0,57,50,110,7540,7769,15312,231,263,491,7831,8082,15912
213031347,67,61,128,5,4,3,9,0,9,79,63,141,8980,8962,17942,521,461,983,9581,9489,19068
213031348,55,64,117,0,0,3,0,5,5,53,70,124,8075,7750,15816,657,531,1185,8787,8347,17131
213031349,28,21,54,0,0,0,0,0,5,35,22,60,6038,6072,12116,192,198,395,6270,6299,12573
213031350,39,22,62,0,0,3,0,0,0,42,29,63,4430,4504,8933,136,112,243,4601,4639,9247
213031351,56,55,113,5,3,7,0,0,0,64,59,121,5550,5460,11011,347,255,604,5964,5771,11735
213031352,71,53,124,0,0,0,0,0,0,74,59,130,7183,7655,14832,256,244,500,7509,7956,15463
213041353,184,169,356,6,3,14,0,8,14,198,183,379,11431,12018,23450,442,444,887,12067,12651,24717
213041358,169,187,355,0,0,0,7,13,16,175,193,376,9538,9999,19541,652,637,1293,10373,10836,21208
213041359,297,80,379,6,0,8,0,5,3,305,81,391,8906,7502,16402,388,372,759,9604,7949,17553
213041360,20,29,49,0,0,0,0,0,0,24,29,54,9404,9568,18971,262,254,513,9693,9845,19539
213041461,15,13,27,0,0,0,0,0,0,15,13,27,2689,2827,5518,132,122,253,2832,2963,5800
213041462,5,0,9,0,0,0,0,0,0,5,0,9,3078,3178,6251,64,56,120,3140,3233,6377
213041463,40,48,87,0,0,0,4,4,6,52,48,99,9638,9908,19548,363,352,717,10056,10312,20365
213041571,46,57,106,6,4,8,0,0,7,57,64,119,4573,4727,9301,196,211,410,4831,4999,9829
213041572,36,36,74,0,0,0,4,5,6,37,37,77,3591,3546,7141,184,202,387,3811,3787,7598
213041573,30,30,62,0,0,0,0,0,0,30,30,62,1400,1454,2859,34,39,75,1473,1524,2990
213041574,20,26,51,0,0,0,0,0,0,20,26,51,4798,4939,9738,147,164,317,4970,5131,10098
213041575,41,36,77,0,0,0,3,0,3,43,39,78,7764,7868,15638,257,216,470,8060,8122,16182
213041576,108,137,249,0,0,0,0,4,7,112,146,252,5314,5489,10807,288,285,572,5715,5922,11632
213041577,92,95,189,0,0,4,3,0,3,99,99,199,3479,3508,6984,351,353,706,3924,3963,7886
213041578,114,134,252,4,5,9,0,0,3,126,142,265,7407,7647,15051,659,683,1345,8196,8469,16658
213051361,78,82,163,0,0,0,0,0,3,81,87,164,8710,8746,17451,437,390,825,9225,9223,18446
213051362,87,86,172,3,4,5,0,3,3,91,92,179,8806,8730,17534,572,484,1055,9466,9305,18772
213051363,38,41,76,0,0,0,0,0,5,34,46,82,5589,5082,10669,400,309,707,6024,5436,11459
213051368,70,96,167,3,0,3,3,0,6,73,95,176,7767,7985,15754,449,439,881,8294,8522,16810
213051464,59,48,106,3,0,0,5,7,7,68,55,119,9207,9099,18302,437,413,852,9705,9565,19274
213051466,39,54,91,0,0,0,3,0,3,41,51,89,9222,9199,18423,302,270,573,9569,9523,19091
213051467,143,142,289,0,3,4,0,0,4,146,153,299,8542,8960,17500,587,619,1214,9277,9729,19010
213051468,177,197,377,0,0,0,3,0,4,180,196,383,10346,10505,20847,568,546,1110,11092,11250,22341
213051579,44,46,95,0,0,0,0,0,0,45,46,94,5056,5070,10133,207,189,389,5311,5311,10616
213051580,36,46,76,0,0,6,5,0,6,40,48,88,6781,6799,13578,265,230,500,7093,7077,14167
213051581,35,18,55,0,3,3,0,4,4,37,27,59,4582,4618,9197,153,153,306,4767,4800,9565
213051582,14,17,28,0,0,0,0,0,0,14,17,28,4908,4678,9587,272,243,512,5186,4938,10132
213051583,47,59,105,0,0,0,5,3,5,54,65,112,13505,13038,26541,765,689,1457,14327,13783,28116
213051584,9,13,26,0,4,3,0,0,0,14,15,33,3563,3193,6759,208,204,411,3786,3413,7197
213051585,22,30,46,0,0,0,0,0,0,23,30,50,5248,5351,10593,253,282,534,5519,5656,11182
213051586,127,4,131,0,0,0,0,0,0,130,8,134,4963,3789,8755,259,188,443,5356,3984,9340
213051587,12,12,20,0,0,0,0,0,0,12,12,20,4818,4402,9219,188,169,356,5020,4579,9596
213051588,26,26,50,3,3,6,0,0,0,28,29,58,9130,8728,17860,603,548,1146,9756,9311,19065
213051589,49,81,132,0,0,0,3,0,4,54,91,144,4127,4211,8341,271,284,554,4450,4587,9032
213051590,120,129,244,0,0,0,0,0,3,121,130,248,6341,6420,12757,284,256,542,6746,6803,13546
214011370,167,167,335,3,8,12,3,0,3,174,177,349,10108,10640,20746,446,441,884,10727,11259,21976
214011371,132,153,283,7,7,15,10,10,22,154,168,319,10483,11241,21722,799,746,1543,11437,12152,23586
214011372,175,183,354,3,9,13,5,4,9,181,196,375,8702,8900,17595,752,721,1474,9640,9815,19453
214011373,69,56,125,0,3,3,0,3,4,69,64,136,8694,9428,18119,283,263,551,9048,9752,18801
214011374,109,114,219,0,7,13,0,0,3,113,116,232,11684,12312,23994,370,344,718,12166,12770,24939
214011375,121,113,231,10,6,14,4,4,4,130,125,252,7833,8170,16000,473,495,966,8436,8780,17215
214011376,58,73,130,3,0,4,0,0,0,60,75,133,6362,6466,12826,166,172,341,6592,6711,13303
214021377,54,61,115,0,0,3,0,0,0,56,58,119,6059,6408,12469,374,410,784,6487,6879,13366
214021378,18,19,33,0,0,0,0,0,0,18,19,33,2738,2762,5504,231,223,460,2991,3003,5995
214021379,236,186,420,14,14,29,7,13,19,256,216,468,10951,11218,22172,672,663,1332,11879,12086,23970
214021381,52,38,90,0,0,5,0,0,0,56,42,94,8775,9327,18099,281,265,544,9106,9628,18734
214021382,53,50,105,3,0,10,3,0,6,62,59,119,9148,9942,19093,295,336,630,9504,10340,19846
214021383,94,76,171,4,0,3,0,3,10,97,84,185,9000,9064,18061,771,790,1566,9873,9941,19811
214021384,145,143,286,7,10,14,9,6,9,158,158,311,9984,11166,21145,718,765,1484,10861,12086,22944
214021385,98,82,177,4,0,8,0,3,3,103,87,187,8602,9111,17710,309,309,624,9011,9510,18522
214021591,78,76,151,3,0,7,0,0,4,85,80,161,6868,7659,14528,241,247,494,7190,7984,15175
214021592,30,19,49,4,0,4,0,0,0,34,20,50,4569,5574,10137,166,223,393,4770,5814,10581
215011386,113,58,168,8,0,11,5,0,3,124,61,181,4159,3711,7869,239,208,448,4522,3976,8500
215011387,24,18,42,0,0,0,0,0,0,24,18,45,1505,1410,2920,125,115,245,1657,1548,3204
215011388,155,157,311,8,6,12,0,5,8,163,173,335,7632,8194,15831,425,398,821,8217,8764,16985
215011389,11,10,23,0,0,0,0,0,0,15,10,25,1671,1558,3235,114,91,212,1804,1663,3471
215011390,46,58,103,0,4,0,0,0,0,48,60,105,3244,3247,6488,183,176,365,3471,3482,6956
215011391,33,34,62,3,0,3,0,3,3,31,34,67,1575,1590,3162,110,113,220,1720,1734,3453
215011392,76,73,144,5,7,7,5,3,8,85,77,163,3798,3794,7593,395,352,746,4274,4227,8504
215011393,16,18,28,0,0,0,0,0,0,16,18,35,1258,1219,2473,129,130,258,1401,1364,2766
215011394,51,42,93,8,0,10,3,3,11,59,52,111,3003,2928,5929,230,224,456,3292,3206,6501
215021395,103,76,179,0,0,0,6,5,3,101,77,185,3455,3473,6935,309,273,584,3874,3831,7700
215021396,97,124,222,0,0,0,6,0,6,98,124,228,2155,2122,4275,242,227,469,2496,2477,4976
215021398,43,38,81,3,5,6,0,0,0,48,41,84,1751,1534,3282,196,160,357,1995,1733,3726
215021399,122,99,223,3,0,6,8,8,17,131,115,240,2733,2697,5426,252,215,468,3119,3018,6138
215021469,504,615,1118,15,3,22,15,21,38,533,641,1172,7585,8001,15582,621,650,1271,8739,9292,18027
215021470,310,368,675,3,8,16,7,8,19,325,382,704,6990,7717,14710,510,480,988,7825,8585,16408
215031400,43,42,84,3,3,12,0,0,0,45,47,92,2863,2706,5569,276,238,522,3187,2995,6184
215031401,58,51,113,0,0,0,0,5,7,62,57,119,3073,3002,6078,272,249,520,3408,3312,6719
215031402,75,70,142,0,0,3,0,0,3,75,77,153,1699,1856,3554,128,126,259,1908,2055,3960
215031403,119,135,254,9,0,6,3,12,16,131,148,278,1597,1435,3036,226,211,433,1950,1796,3740
215031404,199,253,450,9,12,20,0,4,10,210,266,473,4798,5231,10030,316,361,678,5324,5858,11186
215031405,110,86,194,4,0,5,6,9,12,116,95,220,3004,2633,5637,350,271,629,3472,3004,6477
216011406,290,330,619,5,3,6,7,3,8,302,337,637,6769,7361,14132,433,436,867,7501,8140,15636
216011407,140,128,265,4,5,13,0,0,4,145,137,285,5067,5165,10222,329,289,614,5535,5587,11121
216011408,37,26,60,0,0,0,6,4,9,46,27,75,1822,1685,3506,167,180,348,2036,1890,3927
216011409,33,44,80,3,0,0,0,0,0,38,45,83,1782,1890,3666,142,123,263,1962,2057,4016
216011410,44,43,86,5,3,3,0,0,4,45,45,94,1907,1806,3712,203,175,384,2161,2033,4193
216021411,66,59,122,0,9,3,3,5,9,71,70,139,2968,2946,5911,217,200,417,3256,3211,6465
216021412,36,36,69,0,0,0,4,0,4,38,36,74,1306,1246,2558,124,92,215,1469,1373,2843
216021413,158,157,315,3,9,12,0,0,0,166,163,321,5614,5597,11210,526,490,1014,6310,6250,12555
216021414,54,50,95,3,3,3,3,5,8,57,54,106,3925,4160,8089,220,242,463,4201,4453,8661
216031415,288,284,574,3,9,10,11,13,22,310,301,615,3356,3574,6935,405,351,761,4076,4234,8312
216031416,326,375,707,8,14,18,13,12,23,347,400,747,8759,9145,17900,621,655,1274,9726,10201,19928
216031418,31,47,78,0,0,5,0,0,0,34,48,81,1910,1719,3628,173,134,306,2117,1899,4017
216031419,149,119,266,4,0,4,0,3,8,163,120,278,4804,4503,9310,409,354,760,5377,4973,10346
216031593,77,93,175,0,3,3,0,0,0,81,97,181,4256,4375,8627,147,135,274,4486,4599,9082
216031594,359,384,739,11,8,21,12,12,24,375,409,782,7158,7399,14554,607,578,1180,8135,8386,16520
217011420,113,131,234,0,0,6,4,8,11,114,135,255,4076,3946,8022,328,319,648,4526,4397,8920
217011421,112,135,252,9,3,6,6,0,4,121,140,262,4604,4974,9580,234,272,503,4961,5382,10346
217011422,171,150,322,9,5,10,3,0,3,180,153,332,5019,5234,10250,329,313,644,5529,5700,11230
217011423,66,62,124,0,0,0,0,0,0,64,59,126,2916,2844,5760,206,200,413,3191,3108,6301
217031471,14,8,27,0,0,0,0,0,0,14,15,31,1565,1672,3238,110,109,222,1693,1798,3491
217031472,93,94,185,0,8,5,0,0,0,95,101,197,5876,6114,11994,284,287,568,6256,6503,12756
217031473,39,18,58,0,0,0,0,0,0,39,18,58,2707,2514,5223,205,182,388,2951,2721,5669
217031474,34,26,67,5,5,7,0,0,0,39,37,76,2465,2467,4933,215,174,387,2717,2678,5395
217031475,44,57,95,0,0,0,0,0,0,44,57,95,3392,3221,6615,247,223,473,3682,3499,7180
217031476,23,29,58,0,0,0,0,0,0,27,34,57,1755,1740,3503,237,211,447,2025,1986,4008
217041477,53,79,130,0,0,0,6,0,6,64,79,139,3212,3202,6417,242,218,463,3517,3496,7018
217041478,75,76,156,0,0,3,0,0,0,82,77,158,4528,4749,9275,294,288,584,4903,5113,10014
217041479,235,221,455,3,0,3,9,0,9,245,224,470,10013,10865,20878,526,532,1060,10782,11624,22405
217041480,120,110,228,7,0,7,0,0,0,127,110,236,5918,6494,12417,370,322,689,6412,6926,13337
297979799,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,24,3,27,36,6,38
299999499,241,206,448,4,3,9,0,0,4,246,214,462,3882,3169,7052,1042,537,1580,5170,3915,9089
